dataset\0001.jpg,Богоматерь Одигитрия Смоленская,XV в.,Дерево,Левкас,None,Темпера,False,False
dataset\0002.jpg,Покров,XVI в.,Дерево,Левкас,None,Темпера,False,False
dataset\0003.jpg,Беседа Христа с книжниками. Преполовение,XV в.,Дерево,Левкас,None,Темпера,False,False
dataset\0004.jpg,Успение Богоматери,XVI в.,Дерево,Левкас,None,Темпера,False,False
dataset\0005.jpg,Спас Нерукотворный Мокрая Брада,XVI–XVII в.,Дерево,Левкас,Паволока,Темпера,False,False
dataset\0006.jpg,Рождество Христово,XVII в.,Дерево,Левкас,None,Темпера,False,False
dataset\0007.jpg,Спас Эммануил,XVII в.,Дерево,Левкас,None,Темпера,False,True
dataset\0008.jpg,"Мученик Трифон и Меркурий, убивающий царя Юлиана",XVII в.,Дерево,None,None,Темпера,False,False
dataset\0009.jpg,Походный иконостас,XVII в.,Дерево,None,None,Темпера,False,False
dataset\0010.jpg,Никола Можайский,XVIII в.,Дерево,Левкас,None,Масло,False,False
dataset\0011.jpg,Святая Екатерина с житием,XVII в.,Дерево,Левкас,Паволока,Темпера,True,False
dataset\0012.jpg,Благовещение Богоматери,XVII в.,Дерево,Левкас,None,Темпера,False,False
dataset\0013.jpg,Святая Троица,XVII в.,Дерево,Левкас,None,Темпера,False,False
dataset\0014.jpg,Господь Вседержитель,XVI в.,Дерево,None,None,Темпера,False,False
dataset\0015.jpg,Спас Нерукотворный,XVII в.,Дерево,None,None,Темпера,False,False
dataset\0016.jpg,Оглавный Христос,XVI в.,Дерево,None,None,Темпера,False,False
dataset\0017.jpg,Пророк Моисей,XV в.,Дерево,None,None,Темпера,False,False
dataset\0018.jpg,Иоанн Богослов с житием,XVII в.,Дерево,Левкас,Паволока,Темпера,True,False
dataset\0019.jpg,Собор Богоматери,XVIII в.,Дерево,Левкас,None,Темпера,False,False
dataset\0020.jpg,Богоматерь Знамение,XVIII в.,Дерево,None,None,Темпера,False,False
dataset\0021.jpg,Богоматерь Знамение,XVIII в.,Дерево,None,None,Темпера,False,False
dataset\0022.jpg,Богоматерь Владимирская,XVIII в.,Дерево,None,None,Темпера,False,False
dataset\0023.jpg,Богоматерь Умиление,XIX в.,Дерево,None,None,Масло,False,True
dataset\0024.jpg,Богоматерь Одигитрия с палеосными святыми Параскевой и Антипой,XIX в.,Дерево,None,None,Темпера,False,False
dataset\0025.jpg,Богоматерь Одигитрия,XVII в.,Дерево,None,None,Темпера,False,False
dataset\0026.jpg,Богоматерь Тихвинская,XVIII–XIX в.,Дерево,None,None,Темпера,False,False
dataset\0027.jpg,Богоматерь Тихвинская с праздниками,XVII в.,Дерево,None,None,Темпера,True,False
